,name,url
0,DeWalt DCF887 18V XR Cordless Brushless Impact Driver 2 x 5.0Ah,https://www.toolstation.com/dewalt-dcf887-18v-xr-cordless-brushless-impact-driver/p68100
1,DeWalt DCD709D2T-GB 18V XR Brushless Compact Combi Drill 2 x 2.0Ah,https://www.toolstation.com/dewalt-dcd709d2t-gb-18v-xr-brushless-compact-combi-drill/p60545
2,DeWalt DCK2062P3-GB 18V XR Brushless Compact Twin Kit 3 x 5.0Ah,https://www.toolstation.com/dewalt-dck2062p3-gb-18v-xr-brushless-compact-twin-kit/p61573
3,DeWalt DCS570N-XJ 18V XR Brushless 184mm Circular Saw Body Only,https://www.toolstation.com/dewalt-dcs570n-xj-18v-xr-brushless-184mm-circular-saw/p30555
4,DeWalt TSTAK 2.0 Deep Organiser Top & High Capacity Organiser Combo,https://www.toolstation.com/dewalt-tstak-20-deep-organiser-top-high-capacity-organiser-combo/p31111
5,DeWalt DCS355 18V XR Brushless Multi Cutter Body Only,https://www.toolstation.com/dewalt-dcs355-18v-xr-brushless-multi-cutter/p87134
6,DeWalt Multi-Tool Accessory Set,https://www.toolstation.com/dewalt-multi-tool-accessory-set/p23998
7,DeWalt DCG412N-XJ 18V XR 125mm Cordless Angle Grinder Body Only,https://www.toolstation.com/dewalt-dcg412n-xj-18v-xr-125mm-cordless-angle-grinder/p35003
8,DeWalt  DCR020-GB 18V XR Compact Digital DAB Radio 240V/14.4V/18V,https://www.toolstation.com/dewalt-dcr020-gb-18v-xr-compact-digital-dab-radio/p61620
9,DeWalt Screwdriver Bit Set 32 Piece,https://www.toolstation.com/dewalt-screwdriver-bit-set/p33405
10,DeWalt PCD Circular Saw Blade 115 x 9.5mm x 4T,https://www.toolstation.com/dewalt-pcd-circular-saw-blade/p46727
11,DeWalt DCP580 18V XR Cordless 2mm Brushless Planer Body Only,https://www.toolstation.com/dewalt-dcp580-18v-xr-cordless-2mm-brushless-planer/p54968
12,DeWalt FlexTorq Screw Driving Bit Set,https://www.toolstation.com/dewalt-flextorq-screw-driving-bit-set/p36809
13,DeWalt Combination Drill Bit Set,https://www.toolstation.com/dewalt-combination-drill-bit-set/p63071
14,DeWalt Impact Screwdriver Keyring 57mm,https://www.toolstation.com/dewalt-impact-screwdriver-keyring/p52541
15,DeWalt Magnetic Bit Holder with Drive Guide Sleeve 80mm,https://www.toolstation.com/dewalt-magnetic-bit-holder-with-drive-guide-sleeve/p15585
16,DeWalt Latex Coated Gripper Gloves,https://www.toolstation.com/dewalt-latex-coated-gripper-gloves/p95953
